username,name,location,company,bio,total_repos,total_stars_received,total_forks_received,avg_stars_per_repo,account_age_days,repos_per_year,followers,following,follower_ratio,h_index,impact_score,primary_languages,language_diversity,industries_served,primary_industry,has_readme_pct,has_license_pct,total_open_issues,days_since_last_push,is_active
lesashley,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
jruegg,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
moltengama,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
pieromarini,,,,,2,24,3,12.0,1,730.5,0,0,0,2,30,"C++, JavaScript",2,1,R,0.0,0.5,0,235.0,False
BeltranHC,,,,,1,5,0,5.0,1,365.25,0,0,0,1,5,TypeScript,1,1,P,0.0,0.0,0,51.0,True
salozem,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
brunogonzales,,,,,1,3,3,3.0,1,365.25,0,0,0,1,9,Vue,1,1,J,0.0,0.0,0,1406.0,False
JesusHuayhua,,,,,1,3,1,3.0,1,365.25,0,0,0,1,5,C++,1,1,P,0.0,0.0,0,617.0,False
gonzalo-droid,,,,,1,13,3,13.0,1,365.25,0,0,0,1,19,Kotlin,1,1,J,0.0,1.0,0,316.0,False
BrunoMont2003,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
R0SEWT,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
eswinpalacios,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
lvidal1,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
dabc312GitHub,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
01Eddie,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
lorena90davila,,,,,0,0,0,0.0,1,0.0,0,0,0,0,0,,0,0,,0.0,0.0,0,,False
oscargdi,,,,,1,7,2,7.0,1,365.25,0,0,0,1,11,Python,1,1,J,0.0,1.0,1,1760.0,False
